split,class_id,width,height,area,aspect_ratio
train,2,0.30440625,0.8695694444444445,0.26470237369791666,0.35006548579277735
train,4,0.242546875,0.9050972222222222,0.21952850282118055,0.26797880829254067
train,1,0.09234375,0.1345,0.012420234375,0.6865706319702602
train,0,0.094703125,0.2991388888888889,0.028329387586805557,0.3165858018386108
train,4,0.2240625,0.6527916666666667,0.1462661328125,0.3432373779281292
train,3,0.07683593749999999,0.12730555555555556,0.009781641710069443,0.6035552585642592
train,4,0.1209375,0.29386111111111113,0.035538828125000005,0.4115464599678608
train,0,0.073,0.12758333333333333,0.009313583333333332,0.5721750489875898
train,4,0.084390625,0.2197777777777778,0.018547184027777778,0.3839816102123356
train,4,0.0913671875,0.31169444444444444,0.02847864474826389,0.2931306256126905
train,5,0.15815625,0.42390277777777774,0.06704287369791666,0.3730955735395302
train,0,0.081171875,0.12055555555555555,0.009785720486111111,0.6733150921658987
train,4,0.0913671875,0.31169444444444444,0.02847864474826389,0.2931306256126905
train,4,0.15815625,0.42390277777777774,0.06704287369791666,0.3730955735395302
train,0,0.081171875,0.12055555555555555,0.009785720486111111,0.6733150921658987
train,4,0.0913671875,0.31169444444444444,0.02847864474826389,0.2931306256126905
train,5,0.15815625,0.42390277777777774,0.06704287369791666,0.3730955735395302
train,0,0.081171875,0.12055555555555555,0.009785720486111111,0.6733150921658987
train,1,0.0459921875,0.07570833333333334,0.0034819918619791667,0.607491744634012
train,4,0.0913671875,0.31169444444444444,0.02847864474826389,0.2931306256126905
train,5,0.15815625,0.42390277777777774,0.06704287369791666,0.3730955735395302
train,0,0.081171875,0.12055555555555555,0.009785720486111111,0.6733150921658987
train,4,0.23098437500000002,0.47731944444444446,0.11025333355034724,0.48391989408444147
train,0,0.1004453125,0.1736111111111111,0.017438422309027778,0.578565
train,4,0.1209375,0.29386111111111113,0.035538828125000005,0.4115464599678608
train,0,0.077359375,0.10108333333333333,0.007819743489583333,0.76530296784831
train,4,0.084390625,0.2197777777777778,0.018547184027777778,0.3839816102123356
